language	iso_code	gloss	ipa	asjp	sca	dolgo
nucl1305	kan	Stück::N	t ʊ ŋ ɖ u	tuNdu	TYNTY	TVNTV
nucl1305	kan	Teil::N	bʰ a a ɡ a	baga	PAKA	PVKV
nucl1305	kan	Hälfte::N	ə r d h a	3rdha	ERTHA	VRTHV
nucl1305	kan	Kreis::N	ʋ r ɨ t t a	wr3ta	WRITA	WRVTV
nucl1305	kan	Kreuz::N	ɕ ɪ l ʊ b e	Silube	SILYPE	SVRVPV
nucl1305	kan	Linie::N	r i i kʰ e	rike	RIKE	RVKV
nucl1305	kan	Strich::N	ɡ i i ʈ u	gitu	KITY	KVTV
nucl1305	kan	Abstand::N	ə ŋ t ə r a	3Nt3ra	ENTERA	VNTVRV
nucl1305	kan	Entfernung::N	d u u r a	dura	TYRA	TVRV
nucl1305	kan	Gegend::N	ʋ ɪ s t i i r ɳ a	wistirna	WISTIRNA	WVSTVRNV
nucl1305	kan	Platz::N	ə ŋ t ə r a	3Nt3ra	ENTERA	VNTVRV
nucl1305	kan	Ort::N	s t h ə ɭ a	sth3La	STHELA	STHVRV
nucl1305	kan	Seite::N	p ə k ʂ a	p3kSa	PEKSA	PVKSV
nucl1305	kan	Mitte::N	n ə ɖ u	n3du	NETY	NVTV
nucl1305	kan	Gegenstand::N	ʋ ə s t u	w3stu	WESTY	WVSTV
nucl1305	kan	Sache::N	ʋ ə s t u	w3stu	WESTY	WVSTV
nucl1305	kan	Rand::N	ə ŋ t͡ʃ u	3NCu	ENCY	VNKV
nucl1305	kan	Kante::N	ə ŋ t͡ʃ u	3NCu	ENCY	VNKV
nucl1305	kan	Ecke::N	m u u l e	mule	MYLE	MVRV
nucl1305	kan	Spitze::N	t ʊ d i	tudi	TYTI	TVTV
nucl1305	kan	Ende::N	k ɔ n e	kone	KUNE	KVNV
nucl1305	kan	Loch::N	t u u t u	tutu	TYTY	TVTV
nucl1305	kan	Winkel::N	k o o n a	kona	KUNA	KVNV
nucl1305	kan	Muster::N	n ə m u u n e	n3mune	NEMYNE	NVMVNV
nucl1305	kan	Größe::N	p r ə m a a ɳ a	pr3mana	PREMANA	PRVMVNV
nucl1305	kan	Länge::N	w ʊ d d a	wuda	WYTA	WVTV
nucl1305	kan	Höhe::N	j ɛ t t ə r a	yEt3ra	JETERA	JVTVRV
nucl1305	kan	Gewicht::N	t u u k a	tuka	TYKA	TVKV
nucl1305	kan	Menge::N	m ɔ t t a	mota	MUTA	MVTV
nucl1305	kan	Haufen::N	r a a ɕ i	raSi	RASI	RVSV
nucl1305	kan	Reihe::N	s a a l u	salu	SALY	SVRV
nucl1305	kan	Boot::N	d o o ɳ i	doni	TUNI	TVNV
nucl1305	kan	Ruder::N	h ʊ ʈ ʈ u	hutu	HYTY	HVTV
nucl1305	kan	Schlitten::N	t͡ʃ ə k r ə ʋ ɪ l l ə d ə _ d͡ʒ a a r ʊ b ə m ɖ i	C3kr3wil3d3jarub3mdi	CEKREWILETE_CARYPEMTI	KVKRVWVRVTV_KVRVPVMTV
