language	iso_code	gloss	ipa	asjp	sca	dolgo	Cognate Class
telu1262	tel	Mittwoch::N	b u d h ʌ ʋ a a r ʌ m u	budhowaromu	PYTHEWAREMY	PVTHVWVRVMV	1
mala1464	mal	mögen::V	i ʂ ʈ a p p e ɖ u ɡ a	iStapeduga	ISTAPETYKA	VSTVPVTVKV	1
nucl1305	kan	mögen::V	j ɪ ʂ ʈ ə p ə ɖ u	yiSt3p3du	JISTEPETY	JVSTVPVTV	1
tami1289	tam	mögen::V	ʋ i ɾ u m b u	wirumbu	WIRYMPY	WVRVMPV	2
telu1262	tel	mögen::V	i ʂ ʈ ʌ p ʌ ɖ u	iStopodu	ISTEPETY	VSTVPVTV	1
mala1464	mal	Monat::N	m a a s a m	masam	MASAM	MVSVM	1
nucl1305	kan	Monat::N	t ɪ ŋ ɡ ə ɭ u	tiNg3Lu	TINKELY	TVNKVRV	2
tami1289	tam	Monat::N	m ɑ ɑ t ʌ m	matom	MATEM	MVTVM	1
telu1262	tel	Monat::N	n e l ʌ	nelo	NELE	NVRV	3
mala1464	mal	Mond::N	t͡ʃ a n d ɾʲ a n	Candran	CANTRAN	KVNTRVN	1
nucl1305	kan	Mond::N	t͡ʃ ə ŋ d r a	C3Ndra	CENTRA	KVNTRV	1
tami1289	tam	Mond::N	t͡ɕ ʌ n t i ɾ ʌ n	Contiron	CENTIREN	KVNTVRVN	1
telu1262	tel	Mond::N	t͡ɕ ʌ̃ d r u ɖ u	Codrudu	CETRYTY	KVTRVTV	1
mala1464	mal	Montag::N	t i ŋ ɡ a ɭ a a ɻ t͡ʃ a	tiNgaLaLCa	TINKALARCA	TVNKVRVRKV	2
nucl1305	kan	Montag::N	s o o m ʊ ʋ a a r a	somuwara	SUMYWARA	SVMVWVRV	1
tami1289	tam	Montag::N	t i ŋ ɡ ʌ ʈ _ k i ɻ ʌ m ʌ i	tiNgotkiLomoi	TINKET_KIREMEI	TVNKVT_KVRVMV	2
telu1262	tel	Montag::N	s o o m ʌ ʋ a a r ʌ m u	somowaromu	SUMEWAREMY	SVMVWVRVMV	1
mala1464	mal	Moor::N	p a a ɻ n i l a m	paLnilam	PARNILAM	PVRNVRVM	3
nucl1305	kan	Moor::N	b ə ŋ d͡ʒ ə r ʊ _ bʰ u u m i	b3Nj3rubumi	PENCERY_PYMI	PVNKVRV_PVMV	2
tami1289	tam	Moor::N	m u ʈ p u ð ʌ r k ɑ ɑ ʈ u	mutpu8orkatu	MYTPYDERKATY	MVTPVTVRKVTV	1
telu1262	tel	Moor::N	t͡ɕ i t t ʌ ɖ i n e e l ʌ	Citodinelo	CITETINELE	KVTVTVNVRV	3
mala1464	mal	morgen::ADV	n a a ɭ e	naLe	NALE	NVRV	1
nucl1305	kan	morgen::ADV	n a a ɭ e	naLe	NALE	NVRV	1
tami1289	tam	morgen::ADV	n ɑ ɑ ɭ ʌ i k k u	naLoiku	NALEIKY	NVRVKV	1
telu1262	tel	morgen::ADV	ɽ e e p u	repu	REPY	RVPV	2
mala1464	mal	Morgen::N	p ɾʲ a bʰ a a dʰ a m	prabadam	PRAPATAM	PRVPVTVM	1
nucl1305	kan	Morgen::N	m ʊ ŋ d͡ʒ a a n e	muNjane	MYNCANE	MVNKVNV	2
tami1289	tam	Morgen::N	k ɑ ɑ l ʌ i _ n e e ɾ ʌ m	kaloinerom	KALEI_NEREM	KVRV_NVRVM	3
telu1262	tel	Morgen::N	u d ʌ j ʌ m u	udoyomu	YTEJEMY	VTVJVMV	3
mala1464	mal	Mücke::N	m a ɕ a ɡ a m	maSagam	MASAKAM	MVSVKVM	3
nucl1305	kan	Mücke::N	s ɔ ɭ ɭ e	soLe	SULE	SVRV	3
tami1289	tam	Mücke::N	k o s u ʋ i n ʌ p p u u t t͡ɕ i	kosuwinopuCi	KUSYWINEPYCI	KVSVWVNVPVKV	1
telu1262	tel	Mücke::N	t͡ɕ i i k ʌ ʈ i i ɡ ʌ	Cikotigo	CIKETIKE	KVKVTVKV	2
mala1464	mal	müde werden::V	k ʂ i i ɳ i k k ʲ u ɡ a	kSinikuga	KSINIKYKA	KSVNVKVKV	3
nucl1305	kan	müde werden::V	b ə ɭ ə l u	b3L3lu	PELELY	PVRVRV	1
tami1289	tam	müde werden::V	k ʌ i j ʌ j ʌ ɾ t ʌ l	koiyoyortol	KEIJEJERTEL	KVJVJVRTVR	2
telu1262	tel	müde werden::V	ʌ l ʌ j u	oloyu	ELEJY	VRVJV	3
mala1464	mal	Mund::N	ʋ a a j a	waya	WAJA	WVJV	1
nucl1305	kan	Mund::N	b a a j i	bayi	PAJI	PVJV	1
tami1289	tam	Mund::N	ʋ ɑ ɑ j	way	WAJ	WVJ	1
telu1262	tel	Mund::N	n o o r u	noru	NURY	NVRV	1
mala1464	mal	Muster::N	k ɾʲ a m a m	kramam	KRAMAM	KRVMVM	3
nucl1305	kan	Muster::N	n ə m u u n e	n3mune	NEMYNE	NVMVNV	3
tami1289	tam	Muster::N	p ɑ ɑ ŋ ɡ u	paNgu	PANKY	PVNKV	1
telu1262	tel	Muster::N	m a a d i r i	madiri	MATIRI	MVTVRV	2
mala1464	mal	Mutter::N	a m m a	ama	AMA	VMV	1
nucl1305	kan	Mutter::N	ə m m a	3ma	EMA	VMV	1
tami1289	tam	Mutter::N	t ɑ ɑ j	tay	TAJ	TVJ	2
telu1262	tel	Mutter::N	t ʌ l l i	toli	TELI	TVRV	2
mala1464	mal	Mütze::N	t o p p i	topi	TUPI	TVPV	1
nucl1305	kan	Mütze::N	ʈ o o p i	topi	TUPI	TVPV	1
tami1289	tam	Mütze::N	t o p p i	topi	TUPI	TVPV	1
telu1262	tel	Mütze::N	ʈ o o p i	topi	TUPI	TVPV	1
mala1464	mal	Nabel::N	n a a bʰ i	nabi	NAPI	NVPV	3
nucl1305	kan	Nabel::N	h ɔ k k ʊ ɭ u	hokuLu	HUKYLY	HVKVRV	1
tami1289	tam	Nabel::N	t o p p u ɭ	topuL	TUPYL	TVPVR	2
telu1262	tel	Nabel::N	b o ɖ ɖ u	bodu	PUTY	PVTV	3
mala1464	mal	Nachricht::N	s a n d e e ɕ a m	sandeSam	SANTESAM	SVNTVSVM	1
nucl1305	kan	Nachricht::N	s ə ŋ d e e ɕ a	s3NdeSa	SENTESA	SVNTVSV	1
tami1289	tam	Nachricht::N	t͡ɕ e j t i	Ceyti	CEJTI	KVJTV	2
telu1262	tel	Nachricht::N	ʋ a a r t ʌ	warto	WARTE	WVRTV	3
mala1464	mal	Nacht::N	ɾʲ a a t ɾʲ i	ratri	RATRI	RVTRV	1
nucl1305	kan	Nacht::N	r a a t r i	ratri	RATRI	RVTRV	1
tami1289	tam	Nacht::N	i ɾ ʌ ʋ u	irowu	IREWY	VRVWV	2
telu1262	tel	Nacht::N	r ʌ t r i	rotri	RETRI	RVTRV	1
mala1464	mal	nackt::A	n a ɖ a m a a j a	nadamaya	NATAMAJA	NVTVMVJV	1
nucl1305	kan	nackt::A	n ə ɡ n a	n3gna	NEKNA	NVKNV	2
tami1289	tam	nackt::A	ɑ ɑ ʈ ʌ i j ʌ t t ʌ	atoiyoto	ATEIJETE	VTVJVTV	3
telu1262	tel	nackt::A	d i ɡ ʌ̃ b ʌ r ʌ m a i n ʌ	digoboromaino	TIKEPEREMAINE	TVKVPVRVMVNV	3
mala1464	mal	Nadel::N	s u u t͡ʃ i	suCi	SYCI	SVKV	1
nucl1305	kan	Nadel::N	s u u d͡ʒ i	suji	SYCI	SVKV	1
tami1289	tam	Nadel::N	u u s i	usi	YSI	VSV	1
telu1262	tel	Nadel::N	s u u d i	sudi	SYTI	SVTV	1
mala1464	mal	Nagel::N	a a ɳ i	ani	ANI	VNV	1
nucl1305	kan	Nagel::N	a a ɳ i	ani	ANI	VNV	1
